"event","points","total_points","rank","rank_sort","overall_rank","percentile_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","id"
1,37,37,7803235,7810102,7803234,,80,1000,0,0,4,"2564951"
2,45,82,4360019,4402997,7102200,,79,998,1,0,16,"2564951"
3,32,114,8172053,8185984,7359038,,93,996,1,0,6,"2564951"
4,35,149,9436310,9438132,8373139,,93,995,0,0,6,"2564951"
5,42,191,5953047,5995416,8345940,,99,989,1,0,3,"2564951"
6,50,241,8924842,8928903,8565537,,100,989,2,0,4,"2564951"
7,44,285,6077052,6103413,8558265,,87,987,1,0,15,"2564951"
8,37,322,7230009,7259504,8608060,,87,986,0,0,13,"2564951"
9,34,356,9953045,9956335,8919903,,87,991,0,0,0,"2564951"
10,52,408,8874206,8889585,9029064,,87,989,0,0,7,"2564951"
11,36,444,2990395,3032120,8977190,,87,986,0,0,5,"2564951"
12,20,464,10220389,10221269,9274622,,87,986,0,0,6,"2564951"
13,37,501,8669953,8682403,9290800,,82,986,2,0,6,"2564951"
14,40,541,9340638,9345716,9323306,,90,987,1,0,6,"2564951"
15,36,577,4346306,4404369,9308481,,90,987,0,0,7,"2564951"
16,23,600,8605587,8611329,9363639,,88,985,1,0,4,"2564951"
17,32,632,8575989,8579946,9388022,,85,983,2,0,3,"2564951"
18,44,676,2894334,2918799,9272117,,85,982,0,0,0,"2564951"
19,44,720,2935465,2966020,9194897,,97,980,1,0,0,"2564951"
20,63,783,4783672,4795533,9032300,,105,981,1,0,3,"2564951"
21,52,835,3833187,3845256,8920090,40,106,983,1,0,10,"2564951"
22,34,869,8748150,8769336,8961750,90,106,983,0,0,19,"2564951"
23,47,916,7297652,7304131,8936762,70,95,982,1,0,14,"2564951"
24,51,967,8423183,8432636,8987818,80,88,983,1,0,28,"2564951"
25,75,1042,4942993,4958072,8922678,50,101,984,1,0,21,"2564951"
26,62,1104,1554164,1571952,8699087,15,101,987,0,0,4,"2564951"
27,78,1182,1770224,1792903,8459716,20,100,990,1,0,19,"2564951"
28,37,1219,7548642,7560692,8490303,75,104,995,1,0,3,"2564951"
29,6,1225,7977503,8052563,8502438,75,115,994,0,0,0,"2564951"
