"element","position","multiplier","is_captain","is_vice_captain","element_type","id","gameweek"
310,1,1,FALSE,FALSE,1,"96097",1
498,2,1,FALSE,FALSE,2,"96097",1
369,3,1,FALSE,FALSE,2,"96097",1
3,4,1,FALSE,TRUE,2,"96097",1
584,5,1,FALSE,FALSE,3,"96097",1
317,6,2,TRUE,FALSE,3,"96097",1
434,7,1,FALSE,FALSE,3,"96097",1
182,8,1,FALSE,FALSE,3,"96097",1
207,9,1,FALSE,FALSE,4,"96097",1
251,10,1,FALSE,FALSE,4,"96097",1
268,11,1,FALSE,FALSE,4,"96097",1
73,12,0,FALSE,FALSE,1,"96097",1
240,13,0,FALSE,FALSE,3,"96097",1
524,14,0,FALSE,FALSE,2,"96097",1
340,15,0,FALSE,FALSE,2,"96097",1
310,1,1,FALSE,FALSE,1,"96097",2
498,2,1,FALSE,FALSE,2,"96097",2
340,3,1,FALSE,FALSE,2,"96097",2
3,4,1,FALSE,FALSE,2,"96097",2
584,5,1,FALSE,FALSE,3,"96097",2
317,6,2,TRUE,FALSE,3,"96097",2
240,7,1,FALSE,FALSE,3,"96097",2
182,8,1,FALSE,TRUE,3,"96097",2
207,9,1,FALSE,FALSE,4,"96097",2
251,10,1,FALSE,FALSE,4,"96097",2
306,11,1,FALSE,FALSE,4,"96097",2
73,12,0,FALSE,FALSE,1,"96097",2
434,13,0,FALSE,FALSE,3,"96097",2
369,14,0,FALSE,FALSE,2,"96097",2
524,15,0,FALSE,FALSE,2,"96097",2
310,1,1,FALSE,FALSE,1,"96097",3
498,2,1,FALSE,FALSE,2,"96097",3
340,3,1,FALSE,FALSE,2,"96097",3
3,4,1,FALSE,FALSE,2,"96097",3
434,5,1,FALSE,FALSE,3,"96097",3
317,6,1,FALSE,TRUE,3,"96097",3
584,7,1,FALSE,FALSE,3,"96097",3
182,8,2,TRUE,FALSE,3,"96097",3
207,9,1,FALSE,FALSE,4,"96097",3
251,10,1,FALSE,FALSE,4,"96097",3
306,11,1,FALSE,FALSE,4,"96097",3
73,12,0,FALSE,FALSE,1,"96097",3
240,13,0,FALSE,FALSE,3,"96097",3
369,14,0,FALSE,FALSE,2,"96097",3
524,15,0,FALSE,FALSE,2,"96097",3
310,1,1,FALSE,FALSE,1,"96097",4
340,2,1,FALSE,FALSE,2,"96097",4
3,3,1,FALSE,FALSE,2,"96097",4
369,4,1,FALSE,FALSE,2,"96097",4
240,5,1,FALSE,FALSE,3,"96097",4
317,6,1,FALSE,TRUE,3,"96097",4
186,7,1,FALSE,FALSE,3,"96097",4
182,8,2,TRUE,FALSE,3,"96097",4
207,9,1,FALSE,FALSE,4,"96097",4
251,10,1,FALSE,FALSE,4,"96097",4
306,11,1,FALSE,FALSE,4,"96097",4
73,12,0,FALSE,FALSE,1,"96097",4
524,13,0,FALSE,FALSE,2,"96097",4
498,14,0,FALSE,FALSE,2,"96097",4
434,15,0,FALSE,FALSE,3,"96097",4
325,1,1,FALSE,FALSE,1,"96097",5
498,2,1,FALSE,FALSE,2,"96097",5
369,3,1,FALSE,FALSE,2,"96097",5
340,4,1,FALSE,FALSE,2,"96097",5
3,5,1,FALSE,FALSE,2,"96097",5
