"element_in","element_in_cost","element_out","element_out_cost","entry","event","time"
36,46,631,45,"4580261",6,"2025-09-26T17:49:47.421843Z"
200,55,324,65,"4580261",5,"2025-09-19T14:15:35.617960Z"
560,55,362,54,"4580261",4,"2025-09-12T08:19:29.709026Z"
236,70,386,65,"4580261",3,"2025-08-26T17:26:52.476856Z"
226,50,474,55,"4580261",3,"2025-08-26T17:26:52.469610Z"
120,70,486,69,"645239",7,"2025-10-03T12:49:04.526607Z"
50,53,86,50,"645239",7,"2025-10-03T12:49:04.520169Z"
86,50,18,70,"645239",6,"2025-09-26T20:17:27.103423Z"
18,70,120,70,"645239",4,"2025-09-12T20:32:48.405880Z"
573,45,507,50,"645239",4,"2025-09-12T20:32:48.405384Z"
431,50,399,53,"645239",4,"2025-09-12T20:32:48.398173Z"
407,53,406,54,"603883",7,"2025-10-03T09:30:15.832287Z"
691,55,696,60,"603883",6,"2025-09-26T11:10:32.267829Z"
418,65,83,60,"603883",6,"2025-09-26T11:10:32.259432Z"
406,54,407,54,"603883",5,"2025-09-19T15:32:00.228981Z"
474,55,685,45,"603883",4,"2025-09-09T11:56:47.109174Z"
685,45,506,55,"603883",4,"2025-09-09T11:36:04.191282Z"
726,70,625,59,"603883",4,"2025-09-04T09:45:37.167411Z"
83,60,417,65,"603883",4,"2025-09-04T09:45:37.167106Z"
733,50,628,45,"603883",4,"2025-09-04T09:45:37.166791Z"
696,60,526,60,"603883",2,"2025-08-22T12:03:30.317069Z"
54,54,81,70,"6755929",7,"2025-10-03T06:47:04.309874Z"
596,72,181,49,"6755929",6,"2025-09-25T14:40:40.777739Z"
717,70,239,63,"6755929",4,"2025-09-04T13:27:52.760696Z"
238,65,54,55,"6755929",3,"2025-08-29T15:23:39.287199Z"
261,45,505,54,"610154",7,"2025-10-01T09:48:23.367651Z"
736,55,103,40,"610154",4,"2025-09-09T08:33:57.578804Z"
7,56,610,45,"610154",3,"2025-08-28T16:16:24.344877Z"
72,45,317,45,"610154",2,"2025-08-21T22:34:12.128667Z"
,,,,"20972",,
526,58,596,72,"5016915",6,"2025-09-25T14:07:41.458583Z"
67,45,432,49,"5016915",4,"2025-09-08T10:46:52.945925Z"
714,70,310,59,"5016915",4,"2025-09-04T19:43:45.706526Z"
160,59,580,70,"644423",7,"2025-09-30T12:49:28.219192Z"
324,65,389,54,"644423",6,"2025-09-24T06:42:56.993956Z"
317,45,10,53,"644423",5,"2025-09-19T06:57:38.611230Z"
258,50,508,50,"644423",4,"2025-09-12T12:32:57.073173Z"
389,54,53,53,"644423",4,"2025-09-05T01:35:21.113902Z"
685,45,473,55,"644423",3,"2025-08-26T12:22:14.466038Z"
597,65,178,65,"644423",2,"2025-08-19T13:58:52.551993Z"
